Num_Acc;senc;catv;occutc;obs;obsm;choc;manv;num_veh
2,018E+11;0;7;0;0;9;3;1;A01
2,018E+11;0;1;0;0;2;1;1;B01
2,018E+11;1;7;0;6;0;1;6;A01
2,018E+11;1;2;0;0;0;8;1;A01
2,018E+11;0;7;0;0;2;3;15;B01
2,018E+11;0;33;0;0;2;7;0;A01
2,018E+11;2;10;0;0;2;2;15;A01
2,018E+11;1;7;0;0;2;1;1;B01
2,018E+11;0;7;0;0;1;2;1;A01
2,018E+11;2;7;0;0;1;3;13;A01
2,018E+11;1;7;0;0;2;1;1;A01
2,018E+11;2;7;0;0;2;3;1;B01
2,018E+11;2;7;0;0;2;1;1;C01
2,018E+11;2;7;0;0;2;2;1;D01
2,018E+11;2;7;0;0;1;2;2;A01
2,018E+11;2;33;0;0;2;7;0;B01
2,018E+11;1;7;0;1;2;3;17;A01
2,018E+11;2;13;0;0;0;5;1;C01
2,018E+11;2;7;0;0;2;1;2;B01
2,018E+11;2;7;0;0;2;1;17;A01
2,018E+11;2;10;0;0;1;1;1;A01
2,018E+11;2;33;0;13;0;7;17;A01
2,018E+11;1;7;0;0;1;2;0;A01
2,018E+11;1;31;0;0;0;0;2;A01
2,018E+11;1;33;0;0;0;2;23;A01
2,018E+11;0;7;0;1;0;1;1;A01
2,018E+11;0;7;0;0;0;4;23;B01
2,018E+11;1;33;0;9;0;1;1;A01
2,018E+11;1;7;0;0;1;2;1;A01
2,018E+11;0;7;0;0;1;1;1;A01
2,018E+11;2;13;0;0;0;8;21;B01
2,018E+11;1;13;0;0;2;8;13;A01
2,018E+11;1;7;0;6;0;1;1;A01
2,018E+11;1;13;0;0;2;3;18;A01
2,018E+11;1;7;0;0;2;7;18;B01
2,018E+11;2;7;0;0;2;1;0;A01
2,018E+11;2;7;0;0;2;4;1;B01
2,018E+11;0;7;0;7;2;7;2;A01
2,018E+11;0;7;0;0;2;8;15;B01
2,018E+11;0;36;0;12;0;7;1;A01
2,018E+11;0;7;0;0;0;2;1;A01
2,018E+11;0;1;0;0;2;8;16;B01
2,018E+11;0;7;0;0;0;6;0;A01
2,018E+11;0;33;0;0;2;1;1;B01
2,018E+11;2;10;0;0;2;8;11;A01
2,018E+11;2;33;0;0;2;1;2;B01
2,018E+11;2;33;0;0;2;1;1;A01
2,018E+11;1;7;0;0;2;1;11;B01
2,018E+11;0;2;0;0;1;1;1;A01
2,018E+11;2;33;0;14;0;0;1;A01
2,018E+11;0;1;0;3;0;1;15;A01
2,018E+11;0;7;0;0;1;1;16;A01
2,018E+11;2;33;0;0;2;1;2;A01
2,018E+11;2;7;0;0;0;4;2;B01
2,018E+11;1;7;0;0;2;8;5;C01
2,018E+11;2;31;0;0;2;4;1;A01
2,018E+11;2;7;0;0;2;1;0;B01
2,018E+11;0;33;0;0;0;7;0;A01
2,018E+11;0;7;0;0;2;1;1;B01
2,018E+11;0;7;0;0;2;1;5;A01
2,018E+11;1;7;0;0;2;2;15;A01
2,018E+11;2;2;0;0;2;1;1;B01
2,018E+11;0;7;0;2;0;2;1;B01
2,018E+11;0;15;0;0;0;6;23;A01
2,018E+11;0;2;0;0;2;7;1;A01
2,018E+11;0;7;0;0;2;3;9;B01
2,018E+11;0;1;0;0;2;6;1;A01
2,018E+11;0;7;0;0;9;5;12;B01
2,018E+11;0;7;0;15;0;3;1;A01
2,018E+11;0;7;0;0;2;7;19;A01
2,018E+11;0;31;0;0;2;1;1;B01
2,018E+11;0;7;0;0;2;1;1;B01
2,018E+11;0;7;0;0;2;1;15;A01
2,018E+11;0;7;0;0;2;3;23;C01
2,018E+11;0;7;0;9;0;9;1;A01
2,018E+11;0;7;0;0;2;3;1;B01
2,018E+11;0;7;0;0;2;1;1;A01
2,018E+11;0;31;0;0;0;0;23;A01
2,018E+11;0;7;0;15;0;1;1;A01
2,018E+11;0;2;0;0;2;7;15;A01
2,018E+11;0;21;0;0;2;1;1;B01
2,018E+11;1;7;0;0;2;1;5;A01
2,018E+11;2;15;0;0;2;2;1;B01
2,018E+11;0;7;0;0;2;3;1;B01
2,018E+11;0;7;0;0;2;3;13;A01
2,018E+11;2;7;0;0;2;1;15;A01
2,018E+11;1;7;0;0;2;1;1;B01
2,018E+11;0;15;0;0;2;3;1;B01
2,018E+11;0;33;0;0;2;3;13;A01
2,018E+11;2;33;0;0;2;3;1;B01
2,018E+11;0;7;0;0;2;1;19;A01
2,018E+11;1;17;0;0;2;3;1;B01
2,018E+11;2;17;0;0;2;3;13;A01
2,018E+11;2;7;0;0;2;1;2;B01
2,018E+11;2;33;0;0;2;1;2;D01
2,018E+11;2;7;0;0;2;1;2;C01
2,018E+11;2;7;0;0;0;4;2;A01
2,018E+11;0;7;0;0;2;2;1;A01
2,018E+11;2;7;0;0;2;1;1;B01
2,018E+11;0;7;0;0;2;3;13;B01
2,018E+11;0;7;0;0;2;3;1;A01
2,018E+11;0;7;0;2;0;7;1;A01
2,018E+11;0;2;0;0;0;0;1;A01
2,018E+11;2;7;0;0;2;7;13;A01
2,018E+11;1;7;0;0;2;1;1;B01
2,018E+11;1;7;0;2;0;3;0;A01
2,018E+11;1;31;0;0;2;4;2;B01
2,018E+11;1;7;0;0;2;1;2;A01
2,018E+11;1;7;0;0;2;3;15;A01
2,018E+11;2;33;0;0;2;1;17;B01
2,018E+11;1;7;0;9;0;3;1;A01
